ARMv7 Processor rev 0 (v7l)|N7108ZMUENA1|4.3|35640505|46000|898600|4df7144c2de130a7|GT-N7108|4|SMDK4x12|000b|2de130a74df7144c|88:32:9B:|64:B3:10:|swp half thumb fastmult vfp edsp neon vfpv3 tls||f0:b4:29:|samsung/t03gzm/t03gcmcc:4.3/JSS15J/N7108ZMUENA1:user/release-keys|smdk4x12|N7108ZMUENA1|samsung|t03gcmcc|smdk4x12|t03gzm|samsung|samsung|N7108ZMUENA1|JSS15J.N7108ZMUENA1|android-18|armeabi-v7a
AArch64 Processor rev 0 (aarch64)|Q_V1_P14,Q_V1_P14|5.1.1|86173003|46003|898603|4e43eec4|OPPO R9 Plusm A|8|Qualcomm Technologies, Inc MSM8976|||1c:77:f6:|22:22:5F:|fp asimd evtstrm aes pmull sha1 sha2 crc32|中国电信|00:00:00:|OPPO/R9PlusmA/R9PlusA:5.1.1/LMY47V/1471955429:user/release-keys|msm8952|unknown|OPPO|R9PlusA|qcom|R9PlusmA|OPPO|OPPO|eng.root.20161116.205507|R9PlusmA_11_A.21_161116|android-22|arm64-v8a
ARMv7 Processor rev 2 (v7l)|MOLY.LR9.W1423.MD.LWTG.CMCC.MP.V10.P63, 2015/11/04 10:59|4.4.4|86869802|46002|898600|IBLZHASW55EAOF8H|OPPO R7|8|MT6752|0000|0000000000000000|bc:3a:ea:|BC:3A:EA:|swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt||f0:b4:29:|OPPO/R7/R7:4.4.4/KTU84P/1416486236:user/release-keys|oppo6752_15011|unknown|OPPO|R7|mt6752|R7|OPPO|OPPO|51|R7_11_160819|android-19|armeabi-v7a
AArch64 Processor rev 2 (aarch64)|G9350ZCU2BQE2|7.0|35270908|46003|898600|4c64e492|SM-G9350|4|Qualcomm Technologies, Inc MSM8996|000f||02:00:00:|02:00:00:|fp asimd evtstrm aes pmull sha1 sha2 crc32||f0:b4:29:|samsung/hero2qltezc/hero2qltechn:7.0/NRD90M/G9350ZCU2BQE2:user/release-keys|msm8996|G9350ZCU2BQE2|samsung|hero2qltechn|qcom|hero2qltezc|samsung|samsung|G9350ZCU2BQE2|NRD90M.G9350ZCU2BQE2|android-24|arm64-v8a
ARMv7 Processor rev 1 (v7l)|8-00038-M8936FAAAANVZM-1.27211.1|4.4.4|86609102|46003|898600|3a2d565|vivo X5Max V|8|Qualcomm Technologies, Inc MSM8939|0000|0000000000000000|10:f6:81:|10:F6:81:|swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt vfpd32 evtstrm||f0:b4:29:|vivo/msm8916_32/msm8916_32:4.4.4/KTU84P/1474171933:user/release-keys|msm8916|unknown|vivo|msm8916_32|qcom|msm8916_32|vivo|vivo|1474171933|KTU84P release-keys|android-19|armeabi-v7a
ARMv7 Processor rev 1 (v7l)|8-00038-M8936FAAAANVZM-1.27211.1|4.4.4|86695202|46003|898603|2719ee4c|vivo X5V|8|Qualcomm Technologies, Inc MSM8939|0000|0000000000000000|10:f6:81:|10:F6:81:|swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt vfpd32 evtstrm||f0:b4:29:|vivo/PD1401V/PD1401V:4.4.4/KTU84P/1478159450:user/release-keys|msm8916|unknown|vivo|PD1401V|qcom|PD1401V|vivo|vivo|1478159450|KTU84P release-keys|android-19|armeabi-v7a
AArch64 Processor rev 0 (aarch64)|-8976_GEN_PACK-1.82078.1.82572.1|6.0.1|86442903|46007|898600|99fef48c|vivo X9Plus|8|Qualcomm Technologies, Inc MSM8976|||02:00:00:|02:00:00:|fp asimd evtstrm aes pmull sha1 sha2 crc32||bc:46:99:|vivo/PD1619/PD1619:6.0.1/MMB29M/compiler01161807:user/release-keys|msm8952|unknown|vivo|PD1619|qcom|PD1619|vivo|vivo|eng.compiler.20170116.180408|MMB29M release-keys|android-23|arm64-v8a
AArch64 Processor rev 4 (aarch64)|-8953_GEN_PACK-1.82423.1.82571.1|6.0.1|86455103|46000|898603|da00d025|vivo X9|8|Qualcomm Technologies, Inc MSM8953|||02:00:00:|02:00:00:|fp asimd evtstrm aes pmull sha1 sha2 crc32||bc:46:99:|vivo/PD1616/PD1616:6.0.1/MMB29M/compiler01072226:user/release-keys|msm8953|unknown|vivo|PD1616|qcom|PD1616|vivo|vivo|eng.compiler.20170107.222308|MMB29M release-keys|android-23|arm64-v8a
ARMv7 Processor rev 4 (v7l)|937_GENNS_PACK-3.69922.5.70944.9|6.0.1|86351003|46000|898600|6768dc30|vivo Y55A|8|Qualcomm Technologies, Inc MSM8937|0000|0000000000000000|02:00:00:|02:00:00:|half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt vfpd32 lpae evtstrm aes pmull sha1 sha2 crc32||bc:46:99:|vivo/PD1613/PD1613:6.0.1/MMB29M/compiler10101832:user/release-keys|QC_Reference_Phone|unknown|vivo|PD1613|qcom|PD1613|vivo|vivo|eng.compiler.20161010.182950|MMB29M release-keys|android-23|armeabi-v7a
ARMv7 Processor rev 0 (v7l)|MPSS.DPM.2.0.c9-00047-FAAAANUZM-1  1  [Nov 16 2015 18:35:47]|4.4.4|86813402|46007|898600|c8a154d0|SK2-01|4|Qualcomm Technologies, Inc MSM8916|0000|0000000000000000|ec:5a:86:|EC:5A:86:|swp half thumb fastmult vfp edsp neon vfpv3 tls vfpv4 idiva idivt vfpd32 evtstrm||bc:46:99:|ivvi/SK2-01/SK2-01:4.4.4/KTU84P/4.4.018.P0.151117.SK2-01:user/release-keys|msm8916|unknown|ivvi|SK2-01|qcom|SK2-01|YuLong|YuLong|4.4.018.P0.151117.SK2-01|4.4.018.P0.151117.SK2-01|android-19|armeabi-v7a
AArch64 Processor rev 0 (aarch64)|N9200ZCS3CQC2|6.0.1|35257507|46003|898603|02160264ebd62803|SM-N9200|8|SAMSUNG Exynos7420|||02:00:00:|02:00:00:|fp asimd aes pmull sha1 sha2 crc32||f0:b4:29:|samsung/nobleltezc/nobleltechn:6.0.1/MMB29K/N9200ZCS3CQC2:user/release-keys|universal7420|N9200ZCS3CQC2|samsung|nobleltechn|samsungexynos7420|nobleltezc|samsung|samsung|N9200ZCS3CQC2|MMB29K.N9200ZCS3CQC2|android-23|arm64-v8a
